,Immoweb Code,Prices,Locality,House Type,Area,Rooms,Kitchen,Terrace Area,Furniture,Fireplace,Garden Orientation,Garden Area,Ground Surface,Num of facades,Swimming Pool,Building State
0,Immoweb code : 9311225,From 168000€ To 265000€,7020—Mons|Askfortheexactaddress,"Résidence""Redwood""",,,,,,,,,,,,
1,Immoweb code : 9311872,From 172900€ To 368900€,7090—Braine-le-Comte|Askfortheexactaddress,"LECHAMPDUMOULIN-""IMMEUBLECHEVREFEUILLE""",,,,,,,,,,,,
2,Immoweb code : 9309298,239000€,Alsembergsesteenweg971501—Buizingen,Triplexforsale,149,3,USA hyper equipped,13,No,,,,,,,As new
3,Immoweb code : 9309278,From 171500€ To 223000€,RueEugène-Branckotte1357—OPHEYLISSEM,AppartementenHélécine-Rodin,,,,,,,,,,,,
4,Immoweb code : 9309251,From 175000€ To 249000€,RueEugène-Branckotte1357—OPHEYLISSEM,AppartementenHélécine-Degas,,,,,,,,,,,,
5,Immoweb code : 9309264,From 185000€ To 219000€,RueEugène-Branckotte1357—OPHEYLISSEM,AppartementenHélécine-Claudel,,,,,,,,,,,,
6,Immoweb code : 9309366,219000€,ErasmeRuelensvest37Box05013001—Heverlee,Apartmentforsale,70,2,Semi equipped,4,No,,,,,,,To be done up
7,Immoweb code : 9309458,From 220000€ To 630000€,QuaidesUsines1551000—Bruxelles,UtopiabyGodin,,,,,,,,,,,,
8,Immoweb code : 8603832,From 165000€ To 449000€,BaronvanderBruggenlaan258710—Wielsbeke,FleurDeLininWielsbeke,,,,,,,,,,,,
9,Immoweb code : 9311931,From 172900€ To 368900€,7090—Braine-le-Comte|Askfortheexactaddress,"LeChampduMoulin-Résidence""CHEVREFEUILLE""",,,,,,,,,,,,
10,Immoweb code : 9306231,210000€,RueduCure391190—Forest,Apartmentforsale,62,1,USA hyper equipped,,No,,,1000,,2,No,Good
11,Immoweb code : 9304785,225000€,RueEdouardDekoster49Box31140—Evere,Apartmentforsale,58,2,Hyper equipped,,No,,,,,2,No,Just renovated
12,Immoweb code : 9304909,225000€,LennekeMarelaan401930—Zaventem,Apartmentforsale,89,2,Installed,8,No,,,,,2,No,Good
13,Immoweb code : 9303405,From 185337€ To 385000€,Gasthuisstraat278970—Poperinge,Newrealestateproject-Apartmentsforsale,,,,,,,,,,,,
14,Immoweb code : 9304337,From 225000€ To 250000€,Avenueducommerce17850—Enghien,RésidenceOdyssée,,,,,,,,,,,,
15,Immoweb code : 9301721,From 238000€ To 313000€,RueduGénéralMichel22-24-261120—BRUXELLES,GREENHOUSE,,,,,,,,,,,,
16,Immoweb code : 9193114,246800€,RuedelaGare576880—Bertrix,Apartmentforsale,121,3,Installed,11,No,,,,,3,,Good
17,Immoweb code : 9302081,249000€,"LeonSpilliaertstraat5,06018400—Oostende",Apartmentforsale,65,2,Installed,54,No,,,,,2,,Good
18,Immoweb code : 9299989,248000€,Muilaardstraat70A9000—Gent,Apartmentforsale,58,1,Installed,30,No,,,,,2,,Just renovated
19,Immoweb code : 9298060,From 243966€ To 334297€,"Wijngaardstraat1,A2910—Essen",Newrealestateproject-Apartmentsforsale,,,,,,,,,,,,
20,Immoweb code : 9297447,205000€,FransRegoudthelling48370—Blankenberge,Apartmentforsale,46,1,Installed,,Yes,,,,,2,,Good
21,Immoweb code : 9297695,From 215000€ To 299000€,9300—Aalst|Askfortheexactaddress,CityPoint,,,,,,,,,,,,
22,Immoweb code : 9295807,229000€,Kerkstraat111Box3A9255—Buggenhout,Apartmentforsale,68,2,Installed,,No,,,,,2,,Good
23,Immoweb code : 9295779,230000€,RuedesPecheries107Box491160—Auderghem,Apartmentforsale,78,2,Semi equipped,15,No,,,,,,No,To renovate
24,Immoweb code : 9313648,250000€,RueSainteBarbe120Box5.21400—Nivelles,Apartmentforsale,90,2,Installed,6,No,,,,,2,No,As new
25,Immoweb code : 8971504,235000€,RuedelaSenne71000—Bruxelles,Apartmentforsale,50,1,USA hyper equipped,,Yes,,,,,2,No,As new
26,Immoweb code : 9293174,220000€,RuedesQuatre-Vents108Box/16700—Arlon,Apartmentforsale,70,2,Installed,,No,,,,,3,No,Good
27,Immoweb code : 9312003,210000€,RuedesTanneurs80-84BoxD21000—BRUXELLES,Apartmentforsale,50,1,Installed,2,No,,,,,,,Good
28,Immoweb code : 9016148,25000€ + 655€ per month,RueGrétry2ABox0114020—Liège,Apartmentforsale,142,3,Installed,4,No,,,,,,,As new
29,Immoweb code : 9274821,From 90000€ To 355000€,Velle809140—Temse,VELLEVISTA,,,,,,,,,,,,
30,Immoweb code : 8842199,From 113000€ To 222000€,RueduVicinal66800—Libramont-Chevigny,LEDOMAINEDUVICINAL,,,,,,,,,,,,
31,Immoweb code : 9174900,From 119000€ To 389000€,AvenuedesBassins13-157000—Mons,TROISMATS,,,,,,,,,,,,
32,Immoweb code : 9234414,From 133058€ To 271536€,RueduSergentMerx4040—Herstal,AppartementsneufsàHers,,,,,,,,,,,,
33,Immoweb code : 7407209,From 135923€ To 260000€,Leuvensesteenweg2283390—Sint-Joris-Winge,Newrealestateproject-Apartmentsforsale,,,,,,,,,,,,
34,Immoweb code : 8940490,From 137000€ To 371500€,Lecocqstraat31500—Halle,Nederhem-Siena,,,,,,,,,,,,
35,Immoweb code : 8318891,From 138000€ To 214000€,RueduPontCanal57000—Mons,DOMAINEDESGRANDSPRES,,,,,,,,,,,,
36,Immoweb code : 8703492,From 139000€ To 269000€,GraafJansstraat4/00/018434—Westende,FIDELIS,,,,,,,,,,,,
37,Immoweb code : 8578807,From 139943€ To 200362€,RuedesEspagnols996700—Arlon,"Réisdence""L'AUBERGE""-Callemeyn",,,,,,,,,,,,
38,Immoweb code : 8229143,From 141712€ To 238816€,RueLamir207000—Mons,RESIDENCEELIE,,,,,,,,,,,,
39,Immoweb code : 9084549,From 144000€ To 249000€,AvenuedelaGare646220—Fleurus,RESIDENCEAXIALE,,,,,,,,,,,,
40,Immoweb code : 8972719,From 144000€ To 249000€,RueduPeuple17333—Saint-Ghislain,RésidencesAdams-Bresson-,,,,,,,,,,,,
41,Immoweb code : 9147111,From 145900€ To 340900€,Ankerstraat1120—Neder-over-Heembeek,Ananda-Aralia,,,,,,,,,,,,
42,Immoweb code : 8703494,From 149000€ To 299000€,Badenlaan908434—Westende,FIDELISII,,,,,,,,,,,,
43,Immoweb code : 8393675,From 152000€ To 349000€,7800—Ath|Askfortheexactaddress,"ATH-""LeRoseau""",,,,,,,,,,,,
44,Immoweb code : 8645941,From 154000€ To 379000€,Simarstrasse12-164700—Eupen,NEO-Phase1,,,,,,,,,,,,
45,Immoweb code : 7677356,From 158000€ To 327500€,AvenueFidéleMengal17100—LALOUVIÈRE,LASTRADA,,,,,,,,,,,,
46,Immoweb code : 9086302,From 159000€ To 219000€,RueduPeuple17333—Saint-Ghislain,RésidencesErwitt&Fonta,,,,,,,,,,,,
47,Immoweb code : 8343435,From 159000€ To 223850€,Vladsloplein38600—Vladslo,Newrealestateproject-Apartmentsforsale,,,,,,,,,,,,
48,Immoweb code : 9227427,From 159400€ To 338500€,RueEspinthe516900—Aye,Newrealestateproject-Apartmentsforsale,,,,,,,,,,,,
49,Immoweb code : 8524048,From 160000€ To 710000€,rueduMarais1000—BrusselsCity,UrbanCourt,,,,,,,,,,,,
50,Immoweb code : 9266873,From 160000€ To 245000€,BoulevarddelaDeuxiemeArmeeBritannique1381190—Forest,"LesSaules""B""",,,,,,,,,,,,
51,Immoweb code : 8733211,From 160000€ To 244000€,Sint-Ambrosiusstraat9600—Ronse,FORUMAMBROSIUSII,,,,,,,,,,,,
52,Immoweb code : 8235755,From 160000€ To 289000€,Kasteelstraat559620—Zottegem,Newrealestateproject-Apartmentsforsale,,,,,,,,,,,,
53,Immoweb code : 8370301,From 160845€ To 219500€,ruedelacahuaire17950—Chièvres,CHIEVRES,,,,,,,,,,,,
54,Immoweb code : 9160589,From 164900€ To 219900€,RueduVicinal6800—Libramont-Chevigny,RésidenceOrphée,,,,,,,,,,,,
55,Immoweb code : 9125104,From 165000€ To 350000€,4682—HEURE-LE-ROMAIN|Askfortheexactaddress,RESIDENCELESTERRASSES,,,,,,,,,,,,
56,Immoweb code : 8819492,From 167000€ To 274000€,RueduLuxembourg946900—Marche-en-Famenne,LESHAUTSDEMARCHE,,,,,,,,,,,,
57,Immoweb code : 8935159,From 167500€ To 389500€,AvenueAlixdeNamur7090—Braine-le-Comte,"LECHAMPDUMOULIN-""IMMEUBLECOQUELICOT""",,,,,,,,,,,,
