,Immoweb Code,Prices,Locality,House Type,Area,Rooms,Kitchen,Terrace Area,Furniture,Fireplace,Garden Orientation,Garden Area,Ground Surface,Num of facades,Swimming Pool,Building State
0,Immoweb code : 8676655,215500€,Berkenrodelei49BoxV1L2660—Hoboken,Apartmentforsale,86,2,Installed,8,No,,,,,2,No,As new
1,Immoweb code : 9191825,220000€,BoulevardEmileJacqmain142Box2.111000—BrusselsCity,Apartmentforsale,58,1,USA semi equipped,,No,,,,,4,No,As new
2,Immoweb code : 8732916,220000€,Kerkstraat66/1.28520—Kuurne,Apartmentforsale,90,2,Installed,10,No,,,,,2,,As new
3,Immoweb code : 9147293,225000€,1000—Brussels|Askfortheexactaddress,Apartmentforsale,51,1,USA hyper equipped,3,No,,,,,,No,Good
4,Immoweb code : 9086767,237500€,RueBoisSaint-Gilles644000—Liège,Apartmentforsale,126,2,Installed,8,No,,,,,4,,
5,Immoweb code : 8646477,244000€,Ringenhofweg85Box12500—Lier,Apartmentforsale,99,3,Hyper equipped,5,No,,,,,,No,As new
6,Immoweb code : 9239310,246721€,Haachtsesteenweg2034BoxE1130—Haren,Apartmentforsale,86,2,Installed,,No,,,,,,No,As new
7,Immoweb code : 9086766,247500€,RueBoisSaint-Gilles644000—Liège,Apartmentforsale,118,2,Installed,43,No,,,,,4,,
8,Immoweb code : 8456788,249000€,Waregemstraat114Box1.28540—Deerlijk,Apartmentforsale,165,2,Installed,15,No,,,,,4,No,Good
9,Immoweb code : 9308219,Reserve price : 52500€,RueMolinvaux1694000—Liège,Apartmentforsale,75,1,Installed,37,,,,,,3,,To be done up
10,Immoweb code : 9307319,210000€,1080—MOLENBEEK-SAINT-JEAN|Askfortheexactaddress,Apartmentforsale,79,2,Not installed,11,No,,,,,,,Good
11,Immoweb code : 9097602,210000€,"Guldenvlieslaan4,03.028670—Koksijde",Apartmentforsale,96,2,Hyper equipped,,No,,,,,2,No,As new
12,Immoweb code : 9295615,225000€,PrinsBoudewijnlaan3252650—Edegem,Apartmentforsale,60,1,Hyper equipped,,,1,1,,,2,,Just renovated
13,Immoweb code : 9310832,212000€,Getestraat25Box33300—Tienen,Apartmentforsale,78,1,,23,No,,,,,2,,As new
14,Immoweb code : 9072894,204500€,Zuidstraat32/1058530—Harelbeke,Apartmentforsale,84,2,Installed,18,No,,,,,,No,As new
15,Immoweb code : 7677329,205000€,7100—LALOUVIÈRE|Askfortheexactaddress,Apartmentforsale,112,3,USA hyper equipped,12,Yes,,,,,4,,
16,Immoweb code : 9205369,217500€,Beverenstraat228540—Deerlijk,Apartmentforsale,90,2,Installed,8,No,,,,,,,
17,Immoweb code : 9224852,222000€,Zwevegemstraat178553—Otegem,Apartmentforsale,97,2,Installed,12,No,,,,,2,,As new
18,Immoweb code : 8853547,224900€,AvenuedelaToisond'Or886900—Marche-en-Famenne,Apartmentforsale,80,2,Installed,8,,,,,,2,No,
