,Immoweb Code,Prices,Locality,House Type,Area,Rooms,Kitchen,Terrace Area,Furniture,Fireplace,Garden Orientation,Garden Area,Ground Surface,Num of facades,Swimming Pool,Building State
0,Immoweb code : 9153828,25000€ + 750€ per month,5590—Ciney|Askfortheexactaddress,Apartmentforsale,93,2,Installed,,No,,,,,,,
1,Immoweb code : 9319701,38000€ + 556€ per month,RuedesFrênes135570—Beauraing,Houseforsale,,3,Installed,,,,,,721,3,,
2,Immoweb code : 8955650,40000€ + 1400€ per month,1370—PIÉTRAIN|Askfortheexactaddress,Houseforsale,236,3,Installed,,,,North,,2090,4,,Good
3,Immoweb code : 9319676,69000€,RuedeStatte404500—Huy,Houseforsale,110,3,,35,,,,1154,1295,2,,To renovate
4,Immoweb code : 9319650,79000€,RueHectorDenis1066020—Dampremy,Houseforsale,115,3,Semi equipped,,,,,,265,3,,To renovate
5,Immoweb code : 9319636,50000€,RueCésarDespretz487860—Lessines,Houseforsale,,2,,,,,,,,1,,Good
6,Immoweb code : 9319630,99000€,RuedesCourtils407700—Mouscron,Houseforsale,,3,Not installed,,,,,,112,2,,To renovate
7,Immoweb code : 9319380,70000€,RuedeVezon267643—Fontenoy,Houseforsale,,2,,,,,,,288,3,,To renovate
8,Immoweb code : 9319367,50000€,chausséedeMons5011500—Halle,Studioforsale,36,,Semi equipped,,,,,,,2,,Good
9,Immoweb code : 9319301,95000€,RueSaint-Adalbert9/25Box04000—Liege1,Studioforsale,33,1,Installed,,No,,,,,2,,
10,Immoweb code : 9050319,99000€,RuedesFrançais126200—Châtelet,Apartmentforsale,100,3,Semi equipped,,,,,,,3,,To be done up
11,Immoweb code : 9319222,99000€,RueJosephTruffaut51114000—LIEGE,Apartmentforsale,85,2,Installed,20,,,,,,,,Good
12,Immoweb code : 9319219,95000€,7603—Bon-Secours|Askfortheexactaddress,Mixed-usebuildingforsale,170,,Installed,,No,,,,470,2,,
13,Immoweb code : 9319141,75000€,RueNeuville1504020—WANDRE,Houseforsale,53,1,Semi equipped,,No,,,,42,3,,To be done up
14,Immoweb code : 8598142,30000€ + 380€ per month,RueSolovaz84470—SAINT-GEORGES,Houseforsale,85,2,Semi equipped,,No,,,171,265,3,,Good
15,Immoweb code : 9319109,57399€ + 1181€ per month,1502—Halle|Askfortheexactaddress,Houseforsale,180,3,,,No,,,146,302,2,,As new
16,Immoweb code : 9319070,50000€,Nieuwpoort355Box3558620—Niewpoort,Houseforsale,,2,Semi equipped,4,No,1,,20,20,4,,To restore
17,Immoweb code : 9319000,82500€,8480—Eernegem|Askfortheexactaddress,Apartmentforsale,30,,,,No,,,,,2,,
18,Immoweb code : 9318992,89000€,4020—Jupille-sur-Meuse|Askfortheexactaddress,Houseforsale,,2,,,No,,,,,,,To be done up
19,Immoweb code : 9318984,95000€,7600—Péruwelz|Askfortheexactaddress,Mixed-usebuildingforsale,170,,Installed,,No,,,,470,2,,
20,Immoweb code : 9318959,80000€,Ruedelacouturelle1137110—Houdeng-Goegnies,Houseforsale,80,2,,,,,,,580,2,,Good
21,Immoweb code : 9318805,97561€,Rued'Angleur144000—Liège,Duplexforsale,,1,,,Yes,,,,,,,
22,Immoweb code : 9318737,10000€ + 525€ per month,boulevardEdmondMachtens1461080—Molenbeek-St-Jean,Apartmentforsale,101,2,,,No,,,,,,,Good
23,Immoweb code : 9318712,95000€,LangeLozanastraat233Box4D2018—Antwerp,Serviceflatforsale,50,1,Installed,,No,,East,,,2,,To renovate
24,Immoweb code : 9318673,74000€,7100—SAINT-VAAST|Askfortheexactaddress,Houseforsale,177,3,Not installed,,No,,,500,700,3,,Good
25,Immoweb code : 9165475,65000€,6060—Charleroi|Askfortheexactaddress,Houseforsale,,1,,,No,,,,,2,,
26,Immoweb code : 9318607,99000€,7712—Herseaux|Askfortheexactaddress,Houseforsale,143,4,Not installed,,No,,,65,192,2,,To renovate
27,Immoweb code : 8753593,99000€,RueMarie-Henriette114-116Box24800—Verviers,Duplexforsale,135,5,Installed,,,,,,,2,,As new
28,Immoweb code : 8518199,55000€,culdecheval2716440—Froidchapelle,Chaletforsale,48,3,,,Yes,,,,210,4,,Good
29,Immoweb code : 8667956,30000€ + 540€ per month,RuedelaVieilleFosse474400—FLÉMALLE-HAUTE,Houseforsale,100,2,Semi equipped,,No,,,15,55,2,,Good
30,Immoweb code : 9281962,40000€ + 890€ per month,PetiteVoie2614040—Herstal,Houseforsale,250,3,Not installed,,No,,,1000,1200,,,
31,Immoweb code : 8913098,100000€,RueSaint-Agapit26840—Neufchateau,Houseforsale,153,2,Semi equipped,,,,,,159,3,,To be done up
32,Immoweb code : 9206850,30000€ + 485€ per month,RuedesStappes2004100—Seraing,Houseforsale,135,3,Installed,16,No,,West,94,170,2,,As new
33,Immoweb code : 9216048,59000€,RueDésiréLéga304540—Amay,Houseforsale,114,2,Not installed,,,,,,45,2,,To renovate
34,Immoweb code : 9005066,89000€,RuedesVieuxSarts96769—Meix-devant-Virton,Houseforsale,65,2,Semi equipped,,No,,,,,2,,To be done up
35,Immoweb code : 9317052,95000€,Izegemsestraat2188500—Kortrijk,Houseforsale,65,1,,,No,,,,95,2,,To be done up
36,Immoweb code : 9222834,89000€,PaterVandemoerelaan498420—DeHaan,Apartmentforsale,36,1,Installed,,No,,,,,,No,Good
37,Immoweb code : 9292404,95000€,1080—MOLENBEEK-SAINT-JEAN|Askfortheexactaddress,Studioforsale,40,,Installed,9,No,,,,,,,Good
38,Immoweb code : 9163375,25000€ + 650€ per month,Ruedel'Etang465030—Gembloux,Houseforsale,110,2,Semi equipped,20,No,,South West,,915,,,Good
39,Immoweb code : 9213297,67000€,ChausseedeMontigny2176060—Gilly,Houseforsale,72,2,Semi equipped,5,No,,,20,70,2,,To renovate
40,Immoweb code : 9312034,90000€,ruedelaXhavée804020—LIEGEWANDRE,Houseforsale,,2,,,No,,,90,181,2,,To renovate
41,Immoweb code : 9196518,25000€ + 500€ per month,RuedesGuillemins54Box544000—Liège,Studioforsale,40,,Semi equipped,4,No,,,,,,,As new
42,Immoweb code : 9002206,73000€,Brusselsesteenweg37Box0.201850—Grimbergen,Serviceflatforsale,34,1,,,No,,,,,2,,Good
43,Immoweb code : 9071325,76000€,"Parklaan5,07.078434—Westende",Studioforsale,22,,Installed,,Yes,,,,,,No,Just renovated
44,Immoweb code : 9170565,75000€,RueWalthèreJamar1114430—Ans,Houseforsale,168,5,,6,No,,,,85,2,,To restore
45,Immoweb code : 9247912,85000€,RueduRhéna264460—GRÂCE-HOLLOGNE,Houseforsale,97,1,Installed,,,,,,76,3,,Good
46,Immoweb code : 9103527,86000€,RueRamoux484100—Seraing,Houseforsale,145,2,Semi equipped,,No,,,191,191,2,,To renovate
47,Immoweb code : 8845592,98000€,RueLouisLenoirScaillet57860—Lessines,Houseforsale,135,3,Semi equipped,,No,,,,70,2,,To be done up
48,Immoweb code : 9232180,99000€,RueRisack114602—Cheratte,Houseforsale,103,3,Semi equipped,,No,,,58,120,3,,
49,Immoweb code : 9253803,99000€,RampedesCrétalles106997—ÉREZÉE,Houseforsale,67,1,Semi equipped,,No,,,,33,3,,
50,Immoweb code : 9272431,40000€ + 1100€ per month,1400—Nivelles|Askfortheexactaddress,Villaforsale,168,3,Installed,,No,,South East,258,602,4,,Good
51,Immoweb code : 9272429,40000€ + 1100€ per month,1400—Nivelles|Askfortheexactaddress,Bungalowforsale,168,3,Installed,,No,,South East,258,602,4,,Good
52,Immoweb code : 9214447,69500€,rueSalèwe364102—SERAINGOUGREE,Houseforsale,68,1,,25,No,,,267,350,,,
53,Immoweb code : 9102820,100000€,Courtil496670—Gouvy,Houseforsale,,3,Not installed,,No,,North East,,364,,,To be done up
54,Immoweb code : 8955650,40000€ + 1400€ per month,1370—PIÉTRAIN|Askfortheexactaddress,Houseforsale,236,3,Installed,,,,North,,2090,4,,Good
55,Immoweb code : 8670795,35000€ + 955€ per month,4020—Liège|Askfortheexactaddress,Apartmentforsale,125,1,Hyper equipped,8,No,1,,,,2,,As new
56,Immoweb code : 9211904,85000€,Heidelaan828420—DeHaan,Apartmentforsale,42,1,Semi equipped,,No,,,,,,,To be done up
57,Immoweb code : 9256150,90000€,RueduLaboratoire43Box0316000—Charleroi,Apartmentforsale,44,1,Semi equipped,,No,,,,,,,Good
58,Immoweb code : 8894563,96000€,Torhoutsesteenweg36Box1A8400—Oostende,Apartmentforsale,35,1,Installed,,No,,,,,,No,Good
59,Immoweb code : 9265377,90000€,RuedelaBurdinale874210—OTEPPE,Houseforsale,130,3,Not installed,,No,,,,1691,4,,To renovate
60,Immoweb code : 9305962,40000€ + 375€ per month,entreBoverieetPairay14100—Seraing,Mixed-usebuildingforsale,95,2,Installed,,No,,,,380,2,,Good
61,Immoweb code : 9316235,90000€,ChausséedeChatelet42BoxE0216060—CharleroiGilly,Apartmentforsale,80,2,Semi equipped,8,No,,,,,2,No,Good
62,Immoweb code : 9198178,50000€ + 650€ per month,1400—Nivelles|Askfortheexactaddress,Apartmentforsale,90,2,,2,No,,,,,,,As new
63,Immoweb code : 8724229,35000€ + 498€ per month,RueTigedesSaules184550—Nandrin,Houseforsale,140,3,Installed,,No,,,,1020,3,,Good
64,Immoweb code : 9239293,65000€ + 1395€ per month,8660—ADINKERKE|Askfortheexactaddress,Houseforsale,184,2,Installed,,No,1,,,505,3,,Good
65,Immoweb code : 9239292,65000€ + 1395€ per month,8660—ADINKERKE|Askfortheexactaddress,Exceptionalpropertyforsale,184,2,Installed,,No,1,,,505,3,,Good
66,Immoweb code : 9239290,65000€ + 1395€ per month,8660—ADINKERKE|Askfortheexactaddress,Countryhouseforsale,184,2,Installed,,No,1,,,505,3,,Good
67,Immoweb code : 9270034,79500€,RueFroidmont3994520—MOHA,Houseforsale,,2,Semi equipped,,No,,,,162,3,,To renovate
68,Immoweb code : 9215577,80000€,RueJulesdesEssarts976200—ChÃtelineau,Houseforsale,85,2,Semi equipped,,No,,,35,150,2,,To be done up
69,Immoweb code : 9051955,89000€,RueGrimbérieux84420—Saint-Nicolas,Houseforsale,95,2,Not installed,25,,,South,125,255,4,,To renovate
70,Immoweb code : 9259489,99900€,RuePuissant386040—Jumet,Mixed-usebuildingforsale,229,4,Not installed,100,No,,,,340,2,,To renovate
71,Immoweb code : 9142266,79000€,ChausseedeLodelinsart2086060—Gilly,Mixed-usebuildingforsale,60,1,Not installed,,No,,,,,2,,Good
72,Immoweb code : 9243593,100000€,"RuedeNajauge,23Box05670—Mazée",Houseforsale,115,2,Semi equipped,35,No,,South,280,385,3,,
73,Immoweb code : 9277546,50000€ + 2700€ per month,1950—Kraainem|Askfortheexactaddress,Apartmentforsale,160,3,Installed,,No,,,,,,,Good
74,Immoweb code : 9254916,93000€,KoningRidderdijk7ABox09.018434—Westende,Studioforsale,29,1,Hyper equipped,,Yes,,,,,,No,Good
75,Immoweb code : 9277977,95000€,Nieuwpoortlaan82Box18660—LaPanne,Apartmentforsale,35,1,Installed,,No,,,,,,,Good
76,Immoweb code : 9216775,99000€,"EsplanadedelaPaix7,1724040—Herstal",Apartmentforsale,55,1,Semi equipped,,No,,,,,2,,Good
77,Immoweb code : 9242049,99000€,5060—TAMINES|Askfortheexactaddress,Apartmentforsale,120,2,Semi equipped,11,No,,,,,2,,To be done up
78,Immoweb code : 9307706,95000€,PauldeSmetdeNaeyerstraat348430—Middelkerke,Studioforsale,30,,Installed,7,No,,,,,2,No,Just renovated
79,Immoweb code : 9315657,25000€,RueThierOulet24480—Engis,Houseforsale,60,1,Not installed,,No,,,8,68,3,,To restore
80,Immoweb code : 8596805,30000€ + 600€ per month,6220—HEPPIGNIES|Askfortheexactaddress,Houseforsale,95,2,Installed,,No,,,,259,3,,Good
81,Immoweb code : 9284908,49000€,5640—MettetSaint-Gérard|Askfortheexactaddress,Chaletforsale,79,2,Semi equipped,8,,,,30,220,4,,To renovate
82,Immoweb code : 9162475,79000€,RueNeuvice324420—MONTEGNÉE,Houseforsale,70,1,,9,No,,,80,,3,,To be done up
83,Immoweb code : 9221551,95000€,RueChafnay514020—JUPILLE-SUR-MEUSE,Houseforsale,126,2,,,No,,,70,,2,,To renovate
84,Immoweb code : 9240608,99000€,RuePaulJanson386001—Marcinelle,Houseforsale,115,2,Semi equipped,5,No,,,,60,3,,To renovate
85,Immoweb code : 9262624,45000€,LimburgStirumstraat24Box88370—Blankenberge,Apartmentforsale,32,1,Semi equipped,2,No,,,,,,,To be done up
86,Immoweb code : 8958734,75000€ + 1500€ per month,4000—Liège|Askfortheexactaddress,Apartmentforsale,100,2,Semi equipped,3,No,,,,,,,As new
87,Immoweb code : 9308652,99000€,RuedeBruxelles456220—Fleurus,Houseforsale,168,5,Semi equipped,,No,,,,,2,,To renovate
88,Immoweb code : 9245402,55000€,ChausseedeCharleroi24BoxBC45030—Gembloux,Apartmentforsale,48,1,,10,,,,200,,2,,Good
89,Immoweb code : 9047303,99500€,Leopoldlaan234Box02028430—Middelkerke,Studioforsale,29,,Installed,,No,,,,,2,,Good
90,Immoweb code : 9315632,90000€,6150—Anderlues|Askfortheexactaddress,Houseforsale,156,3,Semi equipped,,No,,,,570,3,,To renovate
91,Immoweb code : 9177759,85000€,Ruedes7Actions606060—Gilly,Houseforsale,92,2,Not installed,,No,,,,,2,,To renovate
92,Immoweb code : 9282836,90000€,QuartierduPairet137a5680—Gochenée,Houseforsale,104,3,Not installed,,No,,,,55,2,,Good
93,Immoweb code : 9049958,90000€,"Rueducommerce1,716000—Charleroi",Apartmentforsale,60,1,Not installed,,No,,,,,4,,Good
94,Immoweb code : 9245591,85000€,RuedesSavoyards96900—Marche-en-Famenne,Houseforsale,124,3,Not installed,30,No,,,125,125,2,,Good
95,Immoweb code : 9148505,85000€,rueAlfredDendal2067300—Boussu,Houseforsale,100,2,Semi equipped,,No,,,,230,2,,To be done up
96,Immoweb code : 9254640,95000€,ruejosephWauters614480—Engis,Houseforsale,210,3,Installed,30,No,,,550,838,3,,To renovate
97,Immoweb code : 9256836,99900€,RuedesHospices64800—Verviers,Houseforsale,100,2,Semi equipped,,No,,,,115,2,,To be done up
98,Immoweb code : 9319141,75000€,RueNeuville1504020—WANDRE,Houseforsale,53,1,Semi equipped,,No,,,,42,3,,To be done up
99,Immoweb code : 9104286,85000€,4300—Waremme|Askfortheexactaddress,Apartmentforsale,36,1,Not installed,6,,,,,,4,,
100,Immoweb code : 8709764,65000€,ChausséedeCharleroi245030—Gembloux,Apartmentforsale,,1,,,No,,,,,,,
101,Immoweb code : 8414740,79000€,5590—Ciney|Askfortheexactaddress,Studioforsale,35,1,,1,No,,,,,2,,Good
102,Immoweb code : 9133825,85000€,ChausseedeCharleroi24BoxN35030—Gembloux,Apartmentforsale,47,1,,2,,,,,,2,,As new
103,Immoweb code : 8685645,89000€,Zeedijk260Box06048430—Middelkerke,Studioforsale,28,,,,Yes,,,,,2,,Good
104,Immoweb code : 7975392,89000€,Zeedijk260Box06048430—Middelkerke,Studioforsale,28,,,,Yes,,,,,2,,Good
105,Immoweb code : 9124724,89900€,BoulevardTirou221Box2c6000—Charleroi,Apartmentforsale,76,2,Semi equipped,,No,,,,,2,No,To be done up
106,Immoweb code : 8685678,94000€,Vakantiestraat3Box01408434—Westende,Apartmentforsale,33,1,,,No,,,,,2,,Good
107,Immoweb code : 8484219,94000€,Vakantiestraat3Box01408434—Westende,Apartmentforsale,33,1,,,No,,,,,2,,Good
108,Immoweb code : 9315414,99000€,Kleitendijkstraat38434—Middelkerke,Houseforsale,103,2,Semi equipped,,No,,,,90,,,To be done up
109,Immoweb code : 9189571,69900€,ChausseedeFleurus4686060—CharleroiGilly,Houseforsale,83,2,Installed,,No,,,,67,2,,To be done up
110,Immoweb code : 9232013,80000€,RueduRond-Cothay134020—Jupille-sur-Meuse,Houseforsale,68,1,Installed,,,1,,,30,,,To renovate
111,Immoweb code : 8835622,85000€,Bovelingenstraat374A3870—Heers,Houseforsale,53,1,,,,,,,,2,,To renovate
112,Immoweb code : 9226356,99000€,Rueduvillage56Boxbis4557—TinlotRamelot,Houseforsale,,1,Not installed,,,,,,,4,,To renovate
113,Immoweb code : 9090082,99000€,GrandRoute2164610—Beyne-Heusay,Houseforsale,101,2,,30,No,,,,,2,,
114,Immoweb code : 9229209,100000€,7130—Binche|Askfortheexactaddress,Houseforsale,70,2,Semi equipped,,No,,,,65,2,,To be done up
115,Immoweb code : 9312628,85000€,Franslaan558620—Nieuwpoort,Studioforsale,30,,Semi equipped,,No,,,,,2,,To be done up
116,Immoweb code : 9089049,95000€,RuedesCroixduFeu7027100—LaLouviere,Apartmentforsale,92,2,Not installed,6,No,,,,,4,No,To be done up
117,Immoweb code : 9157089,99000€,Europagalerij13Box68400—Oostende,Apartmentforsale,45,1,Installed,12,No,,,,,2,No,Good
